Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
ubuntu:focal:libpython3.8,"BSD-2-Clause,BSD-3-Clause,ISC,MIT,Zlib","http://opensource.org/licenses/BSD-2-Clause,http://opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT,http://www.opensource.org/licenses/Zlib",deb,ubuntu:focal:libpython3.8:3.8.10-0ubuntu1~20.04.1,deb://ubuntu:focal:libpython3.8,3.8.10-0ubuntu1~20.04.1
com.fasterxml.jackson.core:jackson-databind,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-databind:2.12.3,gav://com.fasterxml.jackson.core:jackson-databind,2.12.3
net.sourceforge.argparse4j:argparse4j,MIT,http://www.opensource.org/licenses/MIT,maven,net.sourceforge.argparse4j:argparse4j:0.7.0,gav://net.sourceforge.argparse4j:argparse4j,0.7.0
org.yaml:snakeyaml,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.yaml:snakeyaml:1.26,gav://org.yaml:snakeyaml,1.26
components-bootstrap,MIT,http://www.opensource.org/licenses/MIT,npm,components-bootstrap:3.4.1,npm://components-bootstrap,3.4.1
generic-pool,MIT,http://www.opensource.org/licenses/MIT,npm,generic-pool:3.8.2,npm://generic-pool,3.8.2
ubuntu:focal:libmagic-mgc,"BSD 2-Clause,MIT","http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/MIT",deb,ubuntu:focal:libmagic-mgc:1:5.38-4,deb://ubuntu:focal:libmagic-mgc,1:5.38-4
commons-cli:commons-cli,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-cli:commons-cli:1.4,gav://commons-cli:commons-cli,1.4
io.netty:netty-transport,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.netty:netty-transport:4.1.48.Final,gav://io.netty:netty-transport,4.1.48.Final
acorn,MIT,http://www.opensource.org/licenses/MIT,npm,acorn:8.7.0,npm://acorn,8.7.0
attrs,MIT,http://www.opensource.org/licenses/MIT,pypi,attrs:21.4.0,pypi://attrs,21.4.0
s3transfer,Apache-2.0,http://licenses.nuget.org/Apache-2.0,pypi,s3transfer:0.5.1,pypi://s3transfer,0.5.1
debian:bullseye:libldap-common,"BSD,ISC,MIT","http://directory.fsf.org/wiki/License:BSD_4Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:libldap-common:2.4.57+dfsg-3,deb://debian:bullseye:libldap-common,2.4.57+dfsg-3
ubuntu:focal:findutils,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,ubuntu:focal:findutils:4.7.0-1ubuntu1,deb://ubuntu:focal:findutils,4.7.0-1ubuntu1
ubuntu:focal:libitm1,"BSD,BSD 2-Clause,GPL-3.0,LGPL-2.1,MIT,ZLIB","http://directory.fsf.org/wiki/License:BSD_4Clause,http://opensource.org/licenses/BSD-2-Clause,http://www.gnu.org/licenses/gpl-3.0-standalone.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,http://www.opensource.org/licenses/MIT,http://www.opensource.org/licenses/Zlib",deb,ubuntu:focal:libitm1:10.3.0-1ubuntu1~20.04,deb://ubuntu:focal:libitm1,10.3.0-1ubuntu1~20.04
ubuntu:focal:tar,"GPL-2.0-only,GPL-3.0-only","http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/gpl-3.0-standalone.html",deb,ubuntu:focal:tar:1.30+dfsg-7ubuntu0.20.04.2,deb://ubuntu:focal:tar,1.30+dfsg-7ubuntu0.20.04.2
